institution,year,HD2014.State abbreviation,
Blackburn College,2014,Illinois,
Bradley University,2014,Illinois,
Chicago State University,2014,Illinois,
University of Chicago,2014,Illinois,
Columbia College-Chicago,2014,Illinois,
Concordia University-Chicago,2014,Illinois,
DePaul University,2014,Illinois,
East-West University,2014,Illinois,
Eastern Illinois University,2014,Illinois,
Elmhurst College,2014,Illinois,
Eureka College,2014,Illinois,
Governors State University,2014,Illinois,
Greenville College,2014,Illinois,
Harrington College of Design,2014,Illinois,
Hebrew Theological College,2014,Illinois,
University of Illinois at Chicago,2014,Illinois,
Benedictine University,2014,Illinois,
University of Illinois at Urbana-Champaign,2014,Illinois,
Illinois Wesleyan University,2014,Illinois,
Illinois College,2014,Illinois,
Illinois Institute of Technology,2014,Illinois,
Argosy University-Chicago,2014,Illinois,
Illinois State University,2014,Illinois,
International Academy of Design and Technology-Chicago,2014,Illinois,
Judson University,2014,Illinois,
Kendall College,2014,Illinois,
Knox College,2014,Illinois,
Lake Forest College,2014,Illinois,
Lewis University,2014,Illinois,
Lincoln Christian University,2014,Illinois,
Lincoln College,2014,Illinois,
Loyola University Chicago,2014,Illinois,
Trinity College of Nursing & Health Sciences,2014,Illinois,
MacMurray College,2014,Illinois,
McKendree University,2014,Illinois,
Methodist College,2014,Illinois,
Midstate College,2014,Illinois,
Millikin University,2014,Illinois,
Monmouth College,2014,Illinois,
Moody Bible Institute,2014,Illinois,
National Louis University,2014,Illinois,
North Central College,2014,Illinois,
North Park University,2014,Illinois,
Northern Illinois University,2014,Illinois,
Northwestern University,2014,Illinois,
Northeastern Illinois University,2014,Illinois,
Olivet Nazarene University,2014,Illinois,
Quincy University,2014,Illinois,
The Illinois Institute of Art-Chicago,2014,Illinois,
Robert Morris University Illinois,2014,Illinois,
Rockford University,2014,Illinois,
Roosevelt University,2014,Illinois,
Dominican University,2014,Illinois,
University of St Francis,2014,Illinois,
Saint Xavier University,2014,Illinois,
University of Illinois at Springfield,2014,Illinois,
Shimer College,2014,Illinois,
Saint Augustine College,2014,Illinois,
Southern Illinois University-Carbondale,2014,Illinois,
Southern Illinois University-Edwardsville,2014,Illinois,
Telshe Yeshiva-Chicago,2014,Illinois,
Trinity Christian College,2014,Illinois,
Trinity International University-Illinois,2014,Illinois,
VanderCook College of Music,2014,Illinois,
Western Illinois University,2014,Illinois,
Wheaton College,2014,Illinois,
Anderson University,2014,Indiana,
Ball State University,2014,Indiana,
Bethel College-Indiana,2014,Indiana,
Butler University,2014,Indiana,
Calumet College of Saint Joseph,2014,Indiana,
DePauw University,2014,Indiana,
Earlham College,2014,Indiana,
University of Evansville,2014,Indiana,
Franklin College,2014,Indiana,
Goshen College,2014,Indiana,
Grace College and Theological Seminary,2014,Indiana,
Hanover College,2014,Indiana,
Holy Cross College,2014,Indiana,
Huntington University,2014,Indiana,
Indiana University-Purdue University-Fort Wayne,2014,Indiana,
Indiana University-Purdue University-Indianapolis,2014,Indiana,
Harrison College-Indianapolis,2014,Indiana,
University of Indianapolis,2014,Indiana,
Indiana Institute of Technology,2014,Indiana,
University of Southern Indiana,2014,Indiana,
Indiana State University,2014,Indiana,
Indiana University-Kokomo,2014,Indiana,
Indiana University-South Bend,2014,Indiana,
Indiana University-Bloomington,2014,Indiana,
Indiana University-Northwest,2014,Indiana,
Indiana University-Southeast,2014,Indiana,
Indiana University-East,2014,Indiana,
International Business College-Fort Wayne,2014,Indiana,
ITT Technical Institute-Nashville,2014,Tennessee,
ITT Technical Institute-Fort Wayne,2014,Indiana,
ITT Technical Institute-Indianapolis,2014,Indiana,
Brown Mackie College-Merrillville,2014,Indiana,
Brown Mackie College-Michigan City,2014,Indiana,
Manchester University,2014,Indiana,
Marian University,2014,Indiana,
Indiana Wesleyan University,2014,Indiana,
Martin University,2014,Indiana,
Brown Mackie College-South Bend,2014,Indiana,
Mid-America College of Funeral Service,2014,Indiana,
University of Notre Dame,2014,Indiana,
Oakland City University,2014,Indiana,
Purdue University-Calumet Campus,2014,Indiana,
Purdue University-North Central Campus,2014,Indiana,
Rose-Hulman Institute of Technology,2014,Indiana,
University of Saint Francis-Fort Wayne,2014,Indiana,
Saint Josephs College,2014,Indiana,
Saint Mary-of-the-Woods College,2014,Indiana,
Saint Mary's College,2014,Indiana,
Taylor University,2014,Indiana,
Trine University,2014,Indiana,
Valparaiso University,2014,Indiana,
Vincennes University,2014,Indiana,
Wabash College,2014,Indiana,
Allen College,2014,Iowa,
AIB College of Business,2014,Iowa,
Briar Cliff University,2014,Iowa,
Buena Vista University,2014,Iowa,
Central College,2014,Iowa,
Clarke University,2014,Iowa,
Coe College,2014,Iowa,
Cornell College,2014,Iowa,
Divine Word College,2014,Iowa,
Dordt College,2014,Iowa,
Drake University,2014,Iowa,
University of Dubuque,2014,Iowa,
Emmaus Bible College,2014,Iowa,
Faith Baptist Bible College and Theological Seminary,2014,Iowa,
Graceland University-Lamoni,2014,Iowa,
Grand View University,2014,Iowa,
Grinnell College,2014,Iowa,
Kaplan University-Mason City Campus,2014,Iowa,
Kaplan University-Cedar Rapids Campus,2014,Iowa,
Hamilton Technical College,2014,Iowa,
Iowa State University,2014,Iowa,
Iowa Wesleyan College,2014,Iowa,
University of Iowa,2014,Iowa,
Loras College,2014,Iowa,
Luther College,2014,Iowa,
Maharishi University of Management,2014,Iowa,
Mercy College of Health Sciences,2014,Iowa,
Morningside College,2014,Iowa,
Mount Mercy University,2014,Iowa,
Ashford University,2014,California,
University of Northern Iowa,2014,Iowa,
Northwestern College,2014,Iowa,
Palmer College of Chiropractic-Davenport,2014,Iowa,
Saint Ambrose University,2014,Iowa,
St Luke's College,2014,Iowa,
Simpson College,2014,Iowa,
Upper Iowa University,2014,Iowa,
Waldorf College,2014,Iowa,
Wartburg College,2014,Iowa,
William Penn University,2014,Iowa,
Baker University,2014,Kansas,
Benedictine College,2014,Kansas,
Bethany College,2014,Kansas,
Bethel College-North Newton,2014,Kansas,
Brown Mackie College-Kansas City,2014,Kansas,
Brown Mackie College-Salina,2014,Kansas,
Central Baptist Theological Seminary,2014,Kansas,
Central Christian College of Kansas,2014,Kansas,
Donnelly College,2014,Kansas,
Emporia State University,2014,Kansas,
Fort Hays State University,2014,Kansas,
Barclay College,2014,Kansas,
Friends University,2014,Kansas,
Haskell Indian Nations University,2014,Kansas,
Concorde Career Colleges,2014,Missouri,
KANSAS CITY COLLEGE AND BIBLE SCHOOL,2014,Kansas,
University of Kansas,2014,Kansas,
Newman University,2014,Kansas,
Kansas State University,2014,Kansas,
Kansas Wesleyan University,2014,Kansas,
Manhattan Christian College,2014,Kansas,
McPherson College,2014,Kansas,
MidAmerica Nazarene University,2014,Kansas,
Ottawa University-Ottawa,2014,Kansas,
Ottawa University-Kansas City,2014,Kansas,
Pittsburg State University,2014,Kansas,
University of Saint Mary,2014,Kansas,
Southwestern College,2014,Kansas,
Sterling College,2014,Kansas,
Tabor College,2014,Kansas,
Washburn University,2014,Kansas,
Wichita State University,2014,Kansas,
Alice Lloyd College,2014,Kentucky,
Asbury University,2014,Kentucky,
Bellarmine University,2014,Kentucky,
Berea College,2014,Kentucky,
Brescia University,2014,Kentucky,
Campbellsville University,2014,Kentucky,
Centre College,2014,Kentucky,
Clear Creek Baptist Bible College,2014,Kentucky,
University of the Cumberlands,2014,Kentucky,
Eastern Kentucky University,2014,Kentucky,
Georgetown College,2014,Kentucky,
Daymar College-Paducah Main,2014,Kentucky,
National College-Lexington,2014,Kentucky,
Kentucky Mountain Bible College,2014,Kentucky,
Kentucky State University,2014,Kentucky,
Kentucky Wesleyan College,2014,Kentucky,
University of Kentucky,2014,Kentucky,
Kentucky Christian University,2014,Kentucky,
Lindsey Wilson College,2014,Kentucky,
Sullivan College of Technology and Design,2014,Kentucky,
University of Louisville,2014,Kentucky,
Midway College,2014,Kentucky,
Morehead State University,2014,Kentucky,
Murray State University,2014,Kentucky,
Northern Kentucky University,2014,Kentucky,
Daymar College-Owensboro,2014,Kentucky,
University of Pikeville,2014,Kentucky,
Brown Mackie College-Louisville,2014,Kentucky,
Saint Catharine College,2014,Kentucky,
Brown Mackie College-Northern Kentucky,2014,Kentucky,
Spalding University,2014,Kentucky,
Spencerian College-Louisville,2014,Kentucky,
Sullivan University,2014,Kentucky,
Thomas More College,2014,Kentucky,
Transylvania University,2014,Kentucky,
Union College,2014,Kentucky,
Western Kentucky University,2014,Kentucky,
Centenary College of Louisiana,2014,Louisiana,
Dillard University,2014,Louisiana,
Grambling State University,2014,Louisiana,
Louisiana State University-Alexandria,2014,Louisiana,
Louisiana State University and Agricultural & Mechanical College,2014,Louisiana,
Louisiana State University-Shreveport,2014,Louisiana,
Louisiana College,2014,Louisiana,
Louisiana Tech University,2014,Louisiana,
Loyola University New Orleans,2014,Louisiana,
McNeese State University,2014,Louisiana,
University of New Orleans,2014,Louisiana,
Nicholls State University,2014,Louisiana,
University of Louisiana at Monroe,2014,Louisiana,
Northwestern State University of Louisiana,2014,Louisiana,
Our Lady of Holy Cross College,2014,Louisiana,
Our Lady of the Lake College,2014,Louisiana,
Saint Joseph Seminary College,2014,Louisiana,
Southeastern Louisiana University,2014,Louisiana,
Southern University and A & M College,2014,Louisiana,
Southern University at New Orleans,2014,Louisiana,
University of Louisiana at Lafayette,2014,Louisiana,
Tulane University of Louisiana,2014,Louisiana,
Xavier University of Louisiana,2014,Louisiana,
Kaplan University-Maine Campus,2014,Maine,
College of the Atlantic,2014,Maine,
Bates College,2014,Maine,
Bowdoin College,2014,Maine,
Colby College,2014,Maine,
Husson University,2014,Maine,
University of Maine at Augusta,2014,Maine,
University of Maine at Farmington,2014,Maine,
University of Maine at Fort Kent,2014,Maine,
University of Maine at Machias,2014,Maine,
University of Maine,2014,Maine,
Maine Maritime Academy,2014,Maine,
University of Maine at Presque Isle,2014,Maine,
University of New England,2014,Maine,
Maine College of Art,2014,Maine,
Saint Joseph's College of Maine,2014,Maine,
University of Southern Maine,2014,Maine,
Thomas College,2014,Maine,
Unity College,2014,Maine,
University of Baltimore,2014,Maryland,
Bowie State University,2014,Maryland,
Capitol College,2014,Maryland,
Washington Adventist University,2014,Maryland,
Coppin State University,2014,Maryland,
Frostburg State University,2014,Maryland,
Goucher College,2014,Maryland,
Kaplan University-Hagerstown Campus,2014,Maryland,
Hood College,2014,Maryland,
Johns Hopkins University,2014,Maryland,
Loyola University Maryland,2014,Maryland,
University of Maryland-University College,2014,Maryland,
University of Maryland-Baltimore County,2014,Maryland,
University of Maryland-College Park,2014,Maryland,
Maryland Institute College of Art,2014,Maryland,
University of Maryland Eastern Shore,2014,Maryland,
Morgan State University,2014,Maryland,
Mount St Mary's University,2014,Maryland,
Ner Israel Rabbinical College,2014,Maryland,
Notre Dame of Maryland University,2014,Maryland,
Salisbury University,2014,Maryland,
St Mary's College of Maryland,2014,Maryland,
Sojourner-Douglass College,2014,Maryland,
St John's College,2014,Maryland,
Towson University,2014,Maryland,
Stevenson University,2014,Maryland,
Washington College,2014,Maryland,
McDaniel College,2014,Maryland,
American International College,2014,Massachusetts,
Amherst College,2014,Massachusetts,
Anna Maria College,2014,Massachusetts,
Assumption College,2014,Massachusetts,
Babson College,2014,Massachusetts,
Boston Baptist College,2014,Massachusetts,
Bay Path College,2014,Massachusetts,
Bay State College,2014,Massachusetts,
Becker College,2014,Massachusetts,
Bentley University,2014,Massachusetts,
Berklee College of Music,2014,Massachusetts,
Boston Architectural College,2014,Massachusetts,
Boston College,2014,Massachusetts,
The Boston Conservatory,2014,Massachusetts,
Boston University,2014,Massachusetts,
Brandeis University,2014,Massachusetts,
Bridgewater State University,2014,Massachusetts,
Cambridge College,2014,Massachusetts,
Laboure College,2014,Massachusetts,
Clark University,2014,Massachusetts,
Curry College,2014,Massachusetts,
Dean College,2014,Massachusetts,
Eastern Nazarene College,2014,Massachusetts,
Emerson College,2014,Massachusetts,
Emmanuel College,2014,Massachusetts,
Endicott College,2014,Massachusetts,
Fisher College,2014,Massachusetts,
